checkpoint,strategy,window,source,epoch,mean_alloc_pct,max_alloc_pct,mean_gross,max_gross,daily_total_return,daily_sortino,daily_max_drawdown,hourly_total_return,hourly_sortino,hourly_max_drawdown
robust_reg_tp01,fixed_1x,full_range,fixed,,0.19999999999999998,0.2,0.9999999999999999,1.0,0.9988070507504381,2.302548927224675,0.46387247046942365,0.4559225529914731,1.0473624743198937,0.47595364922238786
robust_reg_tp01,fixed_1x,latest_60d,fixed,,0.19999999999999996,0.2,0.9999999999999998,1.0,0.08863491213694379,1.7740262554369925,0.19176786291059297,0.027390864813352893,0.5869038719670006,0.25964451358421614
robust_reg_tp01,fixed_5x,full_range,fixed,,1.0,1.0,5.0,5.0,-1.7352943724823533,-1.4984014698126897,1.3283350035202106,-1.7389221955845962,-0.2801467503144997,1.338944961933949
robust_reg_tp01,fixed_5x,latest_60d,fixed,,1.0,1.0,5.0,5.0,-0.2878843327471699,1.6513213867993226,0.7606082965377409,-0.4913279278951055,0.7998292987805039,0.8803469596940829
robust_reg_tp01,default,full_range,refiner,6.0,0.027809991042740293,0.7165003418922424,0.13904995521370148,3.582501709461212,0.29062764838637634,1.9161726690119658,0.21435850233832404,0.19991154588176924,0.9854449857183096,0.2476124714253066
robust_reg_tp01,default,latest_60d,refiner,6.0,0.030294555841310748,0.3807826042175293,0.15147277920655375,1.9039130210876465,-0.11696443855352863,-2.999265956286027,0.1381499932949499,-0.167915361167636,-3.512680038508224,0.2184229081621808
robust_reg_tp01,moderate,full_range,refiner,1.0,0.013664198775301653,0.16889216005802155,0.06832099387650827,0.8444608002901077,0.0996496884329732,3.8581462254898056,0.02561052272700578,0.004361879140261772,0.13441642258041164,0.06257516537742829
robust_reg_tp01,moderate,latest_60d,refiner,1.0,0.011788389762918764,0.037750259041786194,0.058941948814593824,0.18875129520893097,-0.011070973084033358,-2.2568053616560353,0.02216087191267928,-0.022775531434910044,-2.8317719208491363,0.03738602066297294
robust_reg_tp01,midhard,full_range,refiner,11.0,0.0024138468508241263,0.09697866439819336,0.012069234254120632,0.4848933219909668,0.031147151114805274,1.5508576074304437,0.02760605604424637,0.02725907213330738,1.0406294648400856,0.032520657773453254
robust_reg_tp01,midhard,latest_60d,refiner,11.0,0.0024628959365022096,0.03377123177051544,0.012314479682511047,0.1688561588525772,-0.007962629429441585,-2.295324093913365,0.010223389331816653,-0.012944082601071568,-3.061331076640679,0.018715930473976055
robust_reg_tp01,ddhard,full_range,refiner,11.0,0.0025373894027252097,0.2568192481994629,0.012686947013626049,1.2840962409973145,0.04371317556587237,0.9252214589212474,0.06511724926924868,0.042109115202979046,0.7163147738211233,0.07684103018904377
robust_reg_tp01,ddhard,latest_60d,refiner,11.0,0.002164459821839138,0.07044254243373871,0.010822299109195691,0.35221271216869354,-0.017346320028144693,-2.4131331125274937,0.019950919608656432,-0.018779921331951666,-2.4524835456580303,0.032653380067769716
robust_reg_tp01,ddultra,full_range,refiner,10.0,0.004891018147887108,0.06735793501138687,0.024455090739435543,0.33678967505693436,0.018585997496445635,1.7138286036258914,0.02097362572481598,0.008151962126264152,0.3071147742505414,0.03492282604493029
robust_reg_tp01,ddultra,latest_60d,refiner,10.0,0.005092498724967315,0.050995104014873505,0.025462493624836578,0.2549755200743675,0.0008857105235236304,0.5293844258597853,0.006326157900306159,-0.014707233022364017,-2.1374364853257264,0.024423387695111667
gspo_like_mix15,fixed_1x,full_range,fixed,,0.19999999999999998,0.2,0.9999999999999999,1.0,0.6036306570643355,1.8550152958699573,0.4942820322967648,0.32284890147106254,0.911308401327838,0.49486540644107857
gspo_like_mix15,fixed_1x,latest_60d,fixed,,0.19999999999999996,0.2,0.9999999999999998,1.0,0.2755512298554149,4.04437237273358,0.21050588974404352,0.31581067722235456,2.642634637646226,0.22862177319112276
gspo_like_mix15,fixed_5x,full_range,fixed,,1.0,1.0,5.0,5.0,-0.9927174317525398,0.9135204883529698,0.9982296368830348,-0.9952380153426087,60727319746733.01,1.0134946639515228
gspo_like_mix15,fixed_5x,latest_60d,fixed,,1.0,1.0,5.0,5.0,0.35330894887825126,3.983696286093704,0.7956894255315412,0.6161569097249965,2.530705322403058,0.8087133930739395
gspo_like_mix15,default,full_range,refiner,1.0,0.1682669539743264,0.5825517177581787,0.841334769871632,2.9127585887908936,1.8199418922410504,3.5795410542465502,0.598649888327633,0.6172992063221824,1.2128430822835163,0.6201616243777762
gspo_like_mix15,default,latest_60d,refiner,1.0,0.18381218379758046,0.5562742352485657,0.9190609189879023,2.7813711762428284,-0.06368454534496813,-0.09061512122618981,0.36702727976582783,-0.12622174272821213,-0.36217082607507406,0.3967971449055448
gspo_like_mix15,moderate,full_range,refiner,1.0,0.13413747698003164,0.4927736520767212,0.6706873849001582,2.463868260383606,1.5051716070472463,3.6254713552676296,0.5112238201425019,0.6233749544675484,1.2658695521874426,0.5334914220173694
gspo_like_mix15,moderate,latest_60d,refiner,1.0,0.14646862804005711,0.4649917781352997,0.7323431402002856,2.3249588906764984,-0.04737611889349464,-0.15662213076956405,0.30566090891597214,-0.1005644718767784,-0.41551763630597827,0.33191249780585685
gspo_like_mix15,midhard,full_range,refiner,23.0,0.012820082422906243,0.22899752855300903,0.06410041211453121,1.1449876427650452,0.1272988935665884,3.9843848002009614,0.043836902282635634,0.12152077723982693,2.248192583148533,0.05141994935677586
gspo_like_mix15,midhard,latest_60d,refiner,23.0,0.023842403257808426,0.6593306064605713,0.11921201628904213,3.2966530323028564,-0.00522830659522806,-0.4910483335358055,0.029408489759835704,-0.00017574392634815014,0.022443190317792443,0.024842281109597766
gspo_like_mix15,ddhard,full_range,refiner,4.0,0.06676153600614249,0.33565396070480347,0.33380768003071243,1.6782698035240173,0.6511071092129678,3.482851140074619,0.28310372287404323,0.4118182010846587,1.460805101525102,0.29711378199740623
gspo_like_mix15,ddhard,latest_60d,refiner,4.0,0.07478326071010334,0.38457053899765015,0.3739163035505167,1.9228526949882507,-0.025451562552321047,-0.572740452283347,0.16177848431214498,-0.059725248978781925,-0.719871713732907,0.17805749640205723
gspo_like_mix15,ddultra,full_range,refiner,1.0,0.04375835292529404,0.18171977996826172,0.2187917646264702,0.9085988998413086,0.45867252619306603,3.7046281607332965,0.19377714964856263,0.2811970711819864,1.3934907713802953,0.2078867998949082
gspo_like_mix15,ddultra,latest_60d,refiner,1.0,0.047401307778180406,0.16439493000507355,0.23700653889090204,0.8219746500253677,-0.007921220385793458,-0.17728991266404387,0.10868473154249626,-0.026513142860890366,-0.4620562677491461,0.1194260327504618
